0	इस समय माँ बहुत गुस्से में है।
1	सीता बहुत दयालु महसूस कर रहा है।
1	इस समय छात्र बहुत दयालु है।
0	बच्चे आज बहुत चिंतित है।
1	इस समय अध्यापक बहुत खुश है।
0	किसान आज बहुत उदास है।
0	गीता बहुत आलसी महसूस कर रहा है।
1	इस समय किसान बहुत खुश है।
1	मोहन बहुत दयालु महसूस कर रहा है।
1	इस समय बच्चे बहुत खुश है।
0	बच्चे बहुत क्रोधित महसूस कर रहा है।
1	पिता बहुत संतुष्ट महसूस कर रहा है।
1	डॉक्टर बहुत दयालु महसूस कर रहा है।
0	माँ आज बहुत आलसी है।
1	गीता आज बहुत खुश है।
1	मोहन आज बहुत आशावादी है।
0	इस समय किसान बहुत गुस्से में है।
0	राम बहुत आलसी महसूस कर रहा है।
0	अध्यापक बहुत उदास महसूस कर रहा है।
0	डॉक्टर आज बहुत गुस्से में है।
1	अध्यापक बहुत आशावादी महसूस कर रहा है।
0	राम बहुत निराश महसूस कर रहा है।
0	डॉक्टर बहुत क्रोधित महसूस कर रहा है।
0	किसान बहुत उदास महसूस कर रहा है।
0	गीता आज बहुत गुस्से में है।
1	सीता बहुत आशावादी महसूस कर रहा है।
1	किसान आज बहुत संतुष्ट है।
0	माँ आज बहुत निराश है।
1	बच्चे बहुत उत्साहित महसूस कर रहा है।
1	इस समय डॉक्टर बहुत आशावादी है।
1	इस समय माँ बहुत दयालु है।
1	इस समय माँ बहुत उत्साहित है।
0	गीता आज बहुत क्रोधित है।
1	इस समय माँ बहुत आशावादी है।
1	इस समय गीता बहुत मेहनती है।
0	बच्चे बहुत उदास महसूस कर रहा है।
0	इस समय माँ बहुत चिंतित है।
0	बच्चे बहुत आलसी महसूस कर रहा है।
1	पिता बहुत उत्साहित महसूस कर रहा है।
0	इस समय माँ बहुत आलसी है।
0	किसान आज बहुत क्रोधित है।
0	इस समय छात्र बहुत क्रोधित है।
0	इस समय छात्र बहुत गुस्से में है।
1	माँ बहुत संतुष्ट महसूस कर रहा है।
0	अध्यापक आज बहुत गुस्से में है।
1	डॉक्टर आज बहुत दयालु है।
